"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"364","lani","CON","CON07","Rater34",99,101,"a","alv"
"365","lani","CON","CON07","Rater35",95,94,"a","alv"
"366","lani","CON","CON07","Rater36",84,84,"a","alv"
"367","lani","CON","CON07","Rater37",90,98,"a","alv"
"368","lani","CON","CON07","Rater38",63,61,"a","alv"
"369","lani","CON","CON07","Rater39",66,32,"a","alv"
"370","lani","CON","CON07","Rater40",68,90,"a","alv"
"371","lani","CON","CON07","Rater41",88,95,"a","alv"
"372","lani","CON","CON06","Rater1",53,53,"a","alv"
"373","lani","CON","CON06","Rater2",56,59,"a","alv"
"374","lani","CON","CON06","Rater3",69,85,"a","alv"
"375","lani","CON","CON06","Rater4",70,59,"a","alv"
"376","lani","CON","CON06","Rater5",50,22,"a","alv"
"377","lani","CON","CON06","Rater6",69,101,"a","alv"
"378","lani","CON","CON06","Rater7",51,71,"a","alv"
"379","lani","CON","CON06","Rater8",97,95,"a","alv"
"380","lani","CON","CON06","Rater9",90,94,"a","alv"
"381","lani","CON","CON06","Rater10",49,48,"a","alv"
"382","lani","CON","CON06","Rater11",77,40,"a","alv"
"383","lani","CON","CON06","Rater12",94,87,"a","alv"
"384","lani","CON","CON06","Rater13",74,62,"a","alv"
"385","lani","CON","CON06","Rater14",71,78,"a","alv"
"386","lani","CON","CON06","Rater15",61,66,"a","alv"
"387","lani","CON","CON06","Rater16",48,95,"a","alv"
"388","lani","CON","CON06","Rater17",100,101,"a","alv"
"389","lani","CON","CON06","Rater18",91,88,"a","alv"
"390","lani","CON","CON06","Rater19",62,101,"a","alv"
"391","lani","CON","CON06","Rater20",55,72,"a","alv"
"392","lani","CON","CON06","Rater21",54,62,"a","alv"
"393","lani","CON","CON06","Rater22",55,69,"a","alv"
"394","lani","CON","CON06","Rater23",85,90,"a","alv"
"395","lani","CON","CON06","Rater24",66,59,"a","alv"
"396","lani","CON","CON06","Rater25",56,33,"a","alv"
"397","lani","CON","CON06","Rater26",92,92,"a","alv"
"398","lani","CON","CON06","Rater27",67,79,"a","alv"
"399","lani","CON","CON06","Rater28",29,80,"a","alv"
"400","lani","CON","CON06","Rater29",70,101,"a","alv"
"401","lani","CON","CON06","Rater30",64,48,"a","alv"
"402","lani","CON","CON06","Rater31",52,59,"a","alv"
"403","lani","CON","CON06","Rater32",68,77,"a","alv"
"404","lani","CON","CON06","Rater33",80,99,"a","alv"
"405","lani","CON","CON06","Rater34",101,12,"a","alv"
"406","lani","CON","CON06","Rater35",100,83,"a","alv"
"407","lani","CON","CON06","Rater36",83,73,"a","alv"
"408","lani","CON","CON06","Rater37",51,32,"a","alv"
"409","lani","CON","CON06","Rater38",101,15,"a","alv"
"410","lani","CON","CON06","Rater39",98,101,"a","alv"
"411","lani","CON","CON06","Rater40",94,101,"a","alv"
"412","lani","CON","CON06","Rater41",94,96,"a","alv"
"413","lani","CON","CON06","Rater42",28,71,"a","alv"
"414","lani","CON","CON13","Rater1",87,91,"a","alv"
"415","lani","CON","CON13","Rater2",76,73,"a","alv"
"416","lani","CON","CON13","Rater3",78,34,"a","alv"
"417","lani","CON","CON13","Rater4",78,75,"a","alv"
"418","lani","CON","CON13","Rater5",48,90,"a","alv"
"419","lani","CON","CON13","Rater6",80,67,"a","alv"
"420","lani","CON","CON13","Rater7",93,97,"a","alv"
"421","lani","CON","CON13","Rater8",101,101,"a","alv"
"422","lani","CON","CON13","Rater9",62,54,"a","alv"
"423","lani","CON","CON13","Rater10",96,96,"a","alv"
"424","lani","CON","CON13","Rater11",53,71,"a","alv"
"425","lani","CON","CON13","Rater12",42,73,"a","alv"
"426","lani","CON","CON13","Rater13",51,49,"a","alv"
"427","lani","CON","CON13","Rater14",101,101,"a","alv"
"428","lani","CON","CON13","Rater15",86,86,"a","alv"
"429","lani","CON","CON13","Rater16",93,88,"a","alv"
"430","lani","CON","CON13","Rater17",92,95,"a","alv"
"431","lani","CON","CON13","Rater18",71,71,"a","alv"
"432","lani","CON","CON13","Rater19",79,24,"a","alv"
"433","lani","CON","CON13","Rater20",68,94,"a","alv"
"434","lani","CON","CON13","Rater21",62,70,"a","alv"
"435","lani","CON","CON13","Rater22",41,63,"a","alv"
"436","lani","CON","CON13","Rater23",79,56,"a","alv"
"437","lani","CON","CON13","Rater24",101,101,"a","alv"
"438","lani","CON","CON13","Rater25",46,70,"a","alv"
"439","lani","CON","CON13","Rater26",100,80,"a","alv"
"440","lani","CON","CON13","Rater27",96,90,"a","alv"
"441","lani","CON","CON13","Rater28",95,97,"a","alv"
"442","lani","CON","CON13","Rater29",69,70,"a","alv"
"443","lani","CON","CON13","Rater30",28,35,"a","alv"
"444","lani","CON","CON13","Rater31",79,95,"a","alv"
"445","lani","CON","CON13","Rater32",99,95,"a","alv"
"446","lani","CON","CON13","Rater33",68,101,"a","alv"
"447","lani","CON","CON13","Rater34",68,56,"a","alv"
"448","lani","CON","CON13","Rater35",93,92,"a","alv"
"449","lani","CON","CON13","Rater36",87,101,"a","alv"
"450","lani","CON","CON13","Rater37",88,101,"a","alv"
"451","lani","CON","CON13","Rater38",62,92,"a","alv"
"452","lani","CON","CON13","Rater39",93,54,"a","alv"
"453","lani","CON","CON13","Rater40",37,73,"a","alv"
"454","lani","CON","CON13","Rater41",101,101,"a","alv"
"455","lani","CON","CON01","Rater1",54,101,"a","alv"
"456","lani","CON","CON01","Rater2",84,85,"a","alv"
"457","lani","CON","CON01","Rater3",92,45,"a","alv"
"458","lani","CON","CON01","Rater4",40,39,"a","alv"
"459","lani","CON","CON01","Rater5",60,77,"a","alv"
